serialNumber,timestamp,unitPeriodUsage,typeid
F30200C8,1494085500000,0,62
F30200C8,1494086400000,0,62
F30200C8,1494087300000,18.87,62
F30200C8,1494088200000,26.28,62
F30200C8,1494089100000,18.41,62
F30200C8,1494090000000,0,62
F30200C8,1494090900000,0,62
F30200C8,1494091800000,21.36,62
F30200C8,1494092700000,26.34,62
F30200C8,1494093600000,21.54,62
F30200C8,1494094500000,26.34,62
F30200C8,1494095400000,4.33,62
F30200C8,1494096300000,0,62
F30200C8,1494097200000,10.01,62
F30200C8,1494098100000,26.34,62
F30200C8,1494099000000,26.34,62
F30200C8,1494099900000,10.8,62
F30200C8,1494100800000,0,62
F30200C8,1494101700000,1.87,62
F30200C8,1494102600000,26.34,62
F30200C8,1494103500000,26.34,62
F30200C8,1494104400000,11.76,62
F30200C8,1494105300000,0,62
F30200C8,1494106200000,0,62
F30200C8,1494107100000,24.49,62
F30200C8,1494108000000,26.25,62
F30200C8,1494108900000,11.97,62
F30200C8,1494109800000,0,62
F30200C8,1494110700000,0,62
F30200C8,1494111600000,11.32,62
F30200C8,1494112500000,26.34,62
F30200C8,1494113400000,26.31,62
F30200C8,1494114300000,24.99,62
F30200C8,1494115200000,0,62
F30200C8,1494116100000,0,62
F30200C8,1494117000000,26.28,62
F30200C8,1494117900000,26.34,62
F30200C8,1494118800000,26.28,62
F30200C8,1494119700000,12.03,62
F30200C8,1494120600000,0,62
F30200C8,1494121500000,0,62
F30200C8,1494122400000,24.7,62
F30200C8,1494123300000,26.34,62
F30200C8,1494124200000,14.08,62
F30200C8,1494125100000,0,62
F30200C8,1494126000000,0,62
F30200C8,1494126900000,21.27,62
F30200C8,1494127800000,26.34,62
F30200C8,1494128700000,26.31,62
F30200C8,1494129600000,26.28,62
F30200C8,1494130500000,26.34,62
F30200C8,1494131400000,26.34,62
F30200C8,1494132300000,26.31,62
F30200C8,1494133200000,26.28,62
F30200C8,1494134100000,17.91,62
F30200C8,1494135000000,0,62
F30200C8,1494135900000,15.63,62
F30200C8,1494136800000,26.28,62
F30200C8,1494137700000,26.13,62
F30200C8,1494138600000,0,62
F30200C8,1494139500000,0,62
F30200C8,1494140400000,10.94,62
F30200C8,1494141300000,26.31,62
F30200C8,1494142200000,26.34,62
F30200C8,1494143100000,1.29,62
F30200C8,1494144000000,0,62
F30200C8,1494144900000,9.36,62
F30200C8,1494145800000,26.34,62
F30200C8,1494146700000,26.31,62
F30200C8,1494147600000,2.08,62
F30200C8,1494148500000,0,62
F30200C8,1494149400000,6.94,62
F30200C8,1494150300000,26.34,62
F30200C8,1494151200000,26.28,62
F30200C8,1494152100000,3.45,62
F30200C8,1494153000000,0,62
F30200C8,1494153900000,4.45,62
F30200C8,1494154800000,26.25,62
F30200C8,1494155700000,26.34,62
F30200C8,1494156600000,26.31,62
F30200C8,1494157500000,26.34,62
F30200C8,1494158400000,26.28,62
F30200C8,1494159300000,26.34,62
F30200C8,1494160200000,26.34,62
F30200C8,1494161100000,26.34,62
F30200C8,1494162000000,26.25,62
F30200C8,1494162900000,26.34,62
F30200C8,1494163800000,9.66,62
F30200C8,1494164700000,0,62
F30200C8,1494165600000,23.21,62
F30200C8,1494166500000,26.34,62
F30200C8,1494167400000,26.34,62
F30200C8,1494168300000,21.19,62
F30200C8,1494169200000,0,62
F30200C8,1494170100000,2.43,62
F30200C8,1494171000000,26.25,62
F30200C8,1494171900000,26.34,62
F30200C8,1494172800000,26.28,62
F30200C8,1494173700000,5.44,62
F30200C8,1494174600000,0,62
F30200C8,1494175500000,9.01,62
F30200C8,1494176400000,26.28,62
F30200C8,1494177300000,26.34,62
F30200C8,1494178200000,26.34,62
F30200C8,1494179100000,26.34,62
F30200C8,1494180000000,26.28,62
F30200C8,1494180900000,26.34,62
F30200C8,1494181800000,26.34,62
F30200C8,1494182700000,26.34,62
F30200C8,1494183600000,14.16,62
F30200C8,1494184500000,0,62
F30200C8,1494185400000,8.93,62
F30200C8,1494186300000,26.34,62
F30200C8,1494187200000,26.22,62
F30200C8,1494188100000,6.53,62
F30200C8,1494189000000,0,62
F30200C8,1494189900000,0,62
F30200C8,1494190800000,22.18,62
F30200C8,1494191700000,26.22,62
F30200C8,1494192600000,16.07,62
F30200C8,1494193500000,0,62
F30200C8,1494194400000,0,62
F30200C8,1494195300000,9.98,62
F30200C8,1494196200000,26.34,62
F30200C8,1494197100000,26.34,62
F30200C8,1494198000000,1.46,62
F30200C8,1494198900000,0,62
F30200C8,1494199800000,7.81,62
F30200C8,1494200700000,26.34,62
F30200C8,1494201600000,26.31,62
F30200C8,1494202500000,26.31,62
F30200C8,1494203400000,2.19,62
F30200C8,1494204300000,6.55,62
F30200C8,1494205200000,26.28,62
F30200C8,1494206100000,26.34,62
F30200C8,1494207000000,26.34,62
F30200C8,1494207900000,26.34,62
F30200C8,1494208800000,13.31,62
F30200C8,1494209700000,0,62
F30200C8,1494210600000,9.28,62
F30200C8,1494211500000,26.34,62
F30200C8,1494212400000,26.28,62
F30200C8,1494213300000,26.31,62
F30200C8,1494214200000,14.6,62
F30200C8,1494215100000,0,62
F30200C8,1494216000000,0,62
F30200C8,1494216900000,20.45,62
F30200C8,1494217800000,26.34,62
F30200C8,1494218700000,25.25,62
F30200C8,1494219600000,0,62
F30200C8,1494220500000,0,62
F30200C8,1494221400000,4.86,62
F30200C8,1494222300000,24.35,62
F30200C8,1494223200000,26.28,62
F30200C8,1494224100000,12.17,62
F30200C8,1494225000000,0,62
F30200C8,1494225900000,0,62
F30200C8,1494226800000,18.38,62
F30200C8,1494227700000,26.34,62
F30200C8,1494228600000,23.29,62
F30200C8,1494229500000,0,62
F30200C8,1494230400000,0,62
F30200C8,1494231300000,8.11,62
F30200C8,1494232200000,26.34,62
F30200C8,1494233100000,26.22,62
F30200C8,1494234000000,26.28,62
F30200C8,1494234900000,25.6,62
F30200C8,1494235800000,15.51,62
F30200C8,1494236700000,24.87,62
F30200C8,1494237600000,26.34,62
F30200C8,1494238500000,26.34,62
F30200C8,1494239400000,26.34,62
F30200C8,1494240300000,3.8,62
F30200C8,1494241200000,0,62
F30200C8,1494242100000,17.26,62
F30200C8,1494243000000,26.34,62
F30200C8,1494243900000,26.19,62
F30200C8,1494244800000,4.24,62
F30200C8,1494245700000,0,62
F30200C8,1494246600000,0,62
F30200C8,1494247500000,5.97,62
F30200C8,1494248400000,26.34,62
F30200C8,1494249300000,26.34,62
F30200C8,1494250200000,26.34,62
F30200C8,1494251100000,4.01,62
F30200C8,1494252000000,0,62
F30200C8,1494252900000,0,62
F30200C8,1494253800000,19.81,62
F30200C8,1494254700000,26.04,62
F30200C8,1494255600000,13.26,62
F30200C8,1494256500000,0,62
F30200C8,1494257400000,0,62
F30200C8,1494258300000,0,62
F30200C8,1494259200000,25.66,62
F30200C8,1494260100000,26.34,62
F30200C8,1494261000000,24.23,62
F30200C8,1494261900000,0,62
F30200C8,1494262800000,0,62
F30200C8,1494263700000,14.48,62
F30200C8,1494264600000,26.13,62
F30200C8,1494265500000,26.34,62
F30200C8,1494266400000,3.77,62
F30200C8,1494267300000,0,62
F30200C8,1494268200000,5.62,62
F30200C8,1494269100000,26.34,62
F30200C8,1494270000000,26.28,62
F30200C8,1494270900000,10.36,62
F30200C8,1494271800000,0,62
F30200C8,1494272700000,0,62
F30200C8,1494273600000,23.91,62
F30200C8,1494274500000,26.34,62
F30200C8,1494275400000,16.39,62
F30200C8,1494276300000,0,62
F30200C8,1494277200000,0,62
F30200C8,1494278100000,17,62
F30200C8,1494279000000,26.34,62
F30200C8,1494279900000,26.31,62
F30200C8,1494280800000,26.34,62
F30200C8,1494281700000,26.07,62
F30200C8,1494282600000,26.25,62
F30200C8,1494283500000,26.34,62
F30200C8,1494284400000,26.34,62
F30200C8,1494285300000,26.25,62
F30200C8,1494286200000,26.25,62
F30200C8,1494287100000,25.14,62
F30200C8,1494288000000,11.76,62
F30200C8,1494288900000,1.67,62
F30200C8,1494289800000,26.34,62
F30200C8,1494290700000,26.34,62
F30200C8,1494291600000,26.34,62
F30200C8,1494292500000,12.76,62
F30200C8,1494293400000,0,62
F30200C8,1494294300000,0.09,62
F30200C8,1494295200000,26.34,62
F30200C8,1494296100000,26.25,62
F30200C8,1494297000000,26.34,62
F30200C8,1494297900000,9.95,62
F30200C8,1494298800000,0,62
F30200C8,1494299700000,0,62
F30200C8,1494300600000,24.79,62
F30200C8,1494301500000,26.34,62
F30200C8,1494302400000,26.31,62
F30200C8,1494303300000,11.53,62
F30200C8,1494304200000,0,62
F30200C8,1494305100000,0,62
F30200C8,1494306000000,23.21,62
F30200C8,1494306900000,26.28,62
F30200C8,1494307800000,20.72,62
F30200C8,1494308700000,0,62
F30200C8,1494309600000,0,62
F30200C8,1494310500000,15.1,62
F30200C8,1494311400000,26.34,62
F30200C8,1494312300000,26.34,62
F30200C8,1494313200000,0.53,62
F30200C8,1494314100000,0,62
F30200C8,1494315000000,6.91,62
F30200C8,1494315900000,26.34,62
F30200C8,1494316800000,26.34,62
F30200C8,1494317700000,7.7,62
F30200C8,1494318600000,0,62
F30200C8,1494319500000,0,62
F30200C8,1494320400000,0,62
F30200C8,1494321300000,25.55,62
F30200C8,1494322200000,20.45,62
F30200C8,1494323100000,26.34,62
F30200C8,1494324000000,16.62,62
F30200C8,1494324900000,0,62
F30200C8,1494325800000,0,62
F30200C8,1494326700000,15.86,62
F30200C8,1494327600000,26.34,62
F30200C8,1494328500000,26.34,62
F30200C8,1494329400000,26.28,62
F30200C8,1494330300000,26.34,62
F30200C8,1494331200000,26.34,62
F30200C8,1494332100000,26.34,62
F30200C8,1494333000000,26.28,62
F30200C8,1494333900000,26.34,62
F30200C8,1494334800000,26.34,62
F30200C8,1494335700000,1.2,62
F30200C8,1494336600000,0,62
F30200C8,1494337500000,5.97,62
F30200C8,1494338400000,26.28,62
F30200C8,1494339300000,26.22,62
F30200C8,1494340200000,15.8,62
F30200C8,1494341100000,0,62
F30200C8,1494342000000,25.14,62
F30200C8,1494342900000,26.34,62
F30200C8,1494343800000,26.28,62
F30200C8,1494344700000,11.24,62
F30200C8,1494345600000,0,62
F30200C8,1494346500000,0,62
F30200C8,1494347400000,0.64,62
F30200C8,1494348300000,26.1,62
F30200C8,1494349200000,26.19,62
F30200C8,1494350100000,25.99,62
F30200C8,1494351000000,0,62
F30200C8,1494351900000,0,62
F30200C8,1494352800000,0,62
F30200C8,1494353700000,24.02,62
F30200C8,1494354600000,26.34,62
F30200C8,1494355500000,15.54,62
F30200C8,1494356400000,0,62
F30200C8,1494357300000,0,62
F30200C8,1494358200000,8.22,62
F30200C8,1494359100000,26.34,62
F30200C8,1494360000000,26.28,62
F30200C8,1494360900000,4.59,62
F30200C8,1494361800000,0,62
F30200C8,1494362700000,0,62
F30200C8,1494363600000,0,62
F30200C8,1494364500000,0,62
F30200C8,1494365400000,20.75,62
F30200C8,1494366300000,26.31,62
F30200C8,1494367200000,26.25,62
F30200C8,1494368100000,15.66,62
F30200C8,1494369000000,0,62
F30200C8,1494369900000,0,62
F30200C8,1494370800000,0,62
F30200C8,1494371700000,6.99,62
F30200C8,1494372600000,26.34,62
F30200C8,1494373500000,26.34,62
F30200C8,1494374400000,26.34,62
F30200C8,1494375300000,22.68,62
F30200C8,1494376200000,0,62
F30200C8,1494377100000,0,62
