serialNumber,timestamp,unitPeriodUsage,typeid
F3FFD2E4,1492515900000,52,65
F3FFD2E4,1492516800000,46,65
F3FFD2E4,1492517700000,59,65
F3FFD2E4,1492518600000,54,65
F3FFD2E4,1492519500000,54,65
F3FFD2E4,1492520400000,52,65
F3FFD2E4,1492521300000,21,65
F3FFD2E4,1492522200000,42,65
F3FFD2E4,1492523100000,41,65
F3FFD2E4,1492524000000,64,65
F3FFD2E4,1492524900000,32,65
F3FFD2E4,1492525800000,43,65
F3FFD2E4,1492526700000,50,65
F3FFD2E4,1492527600000,59,65
F3FFD2E4,1492528500000,75,65
F3FFD2E4,1492529400000,85,65
F3FFD2E4,1492530300000,66,65
F3FFD2E4,1492531200000,65,65
F3FFD2E4,1492532100000,50,65
F3FFD2E4,1492533000000,47,65
F3FFD2E4,1492533900000,55,65
F3FFD2E4,1492534800000,53,65
F3FFD2E4,1492535700000,80,65
F3FFD2E4,1492536600000,40,65
F3FFD2E4,1492537500000,56,65
F3FFD2E4,1492538400000,14,65
F3FFD2E4,1492539300000,75,65
F3FFD2E4,1492540200000,74,65
F3FFD2E4,1492541100000,66,65
F3FFD2E4,1492542000000,9,65
F3FFD2E4,1492542900000,70,65
F3FFD2E4,1492543800000,65,65
F3FFD2E4,1492544700000,28,65
F3FFD2E4,1492545600000,45,65
F3FFD2E4,1492546500000,66,65
F3FFD2E4,1492547400000,70,65
F3FFD2E4,1492548300000,1,65
F3FFD2E4,1492549200000,23,65
F3FFD2E4,1492550100000,51,65
F3FFD2E4,1492551000000,97,65
F3FFD2E4,1492551900000,75,65
F3FFD2E4,1492552800000,96,65
F3FFD2E4,1492553700000,54,65
F3FFD2E4,1492554600000,84,65
F3FFD2E4,1492555500000,66,65
F3FFD2E4,1492556400000,68,65
F3FFD2E4,1492557300000,67,65
F3FFD2E4,1492558200000,92,65
F3FFD2E4,1492559100000,94,65
F3FFD2E4,1492560000000,58,65
F3FFD2E4,1492560900000,23,65
F3FFD2E4,1492561800000,38,65
F3FFD2E4,1492562700000,21,65
F3FFD2E4,1492563600000,34,65
F3FFD2E4,1492564500000,24,65
F3FFD2E4,1492565400000,53,65
F3FFD2E4,1492566300000,51,65
F3FFD2E4,1492567200000,38,65
F3FFD2E4,1492568100000,23,65
F3FFD2E4,1492569000000,25,65
F3FFD2E4,1492569900000,42,65
F3FFD2E4,1492570800000,25,65
F3FFD2E4,1492571700000,26,65
F3FFD2E4,1492572600000,22,65
F3FFD2E4,1492573500000,23,65
F3FFD2E4,1492574400000,24,65
F3FFD2E4,1492575300000,23,65
F3FFD2E4,1492576200000,26,65
F3FFD2E4,1492577100000,49,65
F3FFD2E4,1492578000000,32,65
F3FFD2E4,1492578900000,38,65
F3FFD2E4,1492579800000,42,65
F3FFD2E4,1492580700000,56,65
